# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.0 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-01-01T00:00:00.0
# Date end (ISO 8601): 2017-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -32.3862
# Longitude (positive East, ISO 19115): -58.1321
# Altitude (m): 10.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-01-06T16:00:00.0/2016-01-06T17:00:00.0;1373.2959;1055.5449;893.8914;161.6535;916.3638
2016-01-06T17:00:00.0/2016-01-06T18:00:00.0;1297.1545;990.3093;833.1727;157.1366;904.1186
2016-01-06T18:00:00.0/2016-01-06T19:00:00.0;1152.3037;865.5510;717.9438;147.6072;876.6930
2016-01-06T19:00:00.0/2016-01-06T20:00:00.0;948.6037;691.2015;558.7859;132.4156;828.0055
2016-01-06T20:00:00.0/2016-01-06T21:00:00.0;699.9239;481.6273;370.3358;111.2915;741.2656
2016-01-06T21:00:00.0/2016-01-06T22:00:00.0;423.1980;258.2382;177.8287;80.4095;578.9412
2016-01-06T22:00:00.0/2016-01-06T23:00:00.0;137.2953;62.0138;30.6044;31.4094;228.4798
2016-01-06T23:00:00.0/2016-01-07T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T00:00:00.0/2016-01-07T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T01:00:00.0/2016-01-07T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T02:00:00.0/2016-01-07T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T03:00:00.0/2016-01-07T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T04:00:00.0/2016-01-07T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T05:00:00.0/2016-01-07T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T06:00:00.0/2016-01-07T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T07:00:00.0/2016-01-07T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T08:00:00.0/2016-01-07T09:00:00.0;0.1762;0.0380;0.0025;0.0355;0.0000
2016-01-07T09:00:00.0/2016-01-07T10:00:00.0;151.3981;77.6948;47.0975;30.5973;346.0187
2016-01-07T10:00:00.0/2016-01-07T11:00:00.0;437.3277;289.6720;221.8794;67.7926;703.1583
2016-01-07T11:00:00.0/2016-01-07T12:00:00.0;713.0770;521.4602;431.2347;90.2255;848.2705
2016-01-07T12:00:00.0/2016-01-07T13:00:00.0;959.8578;735.6119;629.8640;105.7479;922.7494
2016-01-07T13:00:00.0/2016-01-07T14:00:00.0;1160.8518;911.4510;794.4134;117.0376;963.0463
2016-01-07T14:00:00.0/2016-01-07T15:00:00.0;1302.3576;1035.2752;910.0824;125.1928;983.6762
2016-01-07T15:00:00.0/2016-01-07T16:00:00.0;1374.7249;1097.0442;966.4591;130.5852;989.7162
2016-01-07T16:00:00.0/2016-01-07T17:00:00.0;1373.0136;1092.3103;958.9082;133.4022;983.1749
2016-01-07T17:00:00.0/2016-01-07T18:00:00.0;1297.3301;1021.6574;888.3756;133.2818;963.8297
2016-01-07T18:00:00.0/2016-01-07T19:00:00.0;1152.8215;890.7152;761.1416;129.5736;928.9192
2016-01-07T19:00:00.0/2016-01-07T20:00:00.0;949.3243;709.6079;588.5278;121.0800;871.2706
2016-01-07T20:00:00.0/2016-01-07T21:00:00.0;700.6938;492.9840;387.2624;105.7216;774.0661
2016-01-07T21:00:00.0/2016-01-07T22:00:00.0;423.8600;263.6143;185.5040;78.1103;603.2527
2016-01-07T22:00:00.0/2016-01-07T23:00:00.0;137.6958;63.4940;32.5936;30.9004;244.4096
2016-01-07T23:00:00.0/2016-01-08T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T00:00:00.0/2016-01-08T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T01:00:00.0/2016-01-08T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T02:00:00.0/2016-01-08T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T03:00:00.0/2016-01-08T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
