Objeto,Procedencia,Fecha Medida,Hora Medida,Valor
DSRADG01EAS,STC,11/01/2016,1800,2.731
DSRADG01EAS,STC,11/01/2016,1900,1.042
DSRADG01EAS,STC,11/01/2016,2000,0.119
DSRADG01EAS,STC,11/01/2016,2100,0
DSRADG01EAS,STC,11/01/2016,2200,0
DSRADG01EAS,STC,11/01/2016,2300,0
DSRADG01EAS,STC,11/01/2016,2400,0
DSRADG01EAS,STC,12/01/2016,100,0
DSRADG01EAS,STC,12/01/2016,200,0
DSRADG01EAS,STC,12/01/2016,300,0
DSRADG01EAS,STC,12/01/2016,400,0
DSRADG01EAS,STC,12/01/2016,500,0
DSRADG01EAS,STC,12/01/2016,600,0
DSRADG01EAS,STC,12/01/2016,700,0.091
DSRADG01EAS,STC,12/01/2016,800,0.843
DSRADG01EAS,STC,12/01/2016,900,3.003
DSRADG01EAS,STC,12/01/2016,1000,4.964
DSRADG01EAS,STC,12/01/2016,1100,6.004
DSRADG01EAS,STC,12/01/2016,1200,5.644
DSRADG01EAS,STC,12/01/2016,1300,7.728
DSRADG01EAS,STC,12/01/2016,1400,7.251
DSRADG01EAS,STC,12/01/2016,1500,7.27
DSRADG01EAS,STC,12/01/2016,1600,4.944
DSRADG01EAS,STC,12/01/2016,1700,0.678
DSRADG01EAS,STC,12/01/2016,1800,0.287
DSRADG01EAS,STC,12/01/2016,1900,0.347
DSRADG01EAS,STC,12/01/2016,2000,0.002
DSRADG01EAS,STC,12/01/2016,2100,0
DSRADG01EAS,STC,12/01/2016,2200,0
DSRADG01EAS,STC,12/01/2016,2300,0
DSRADG01EAS,STC,12/01/2016,2400,0
DSRADG01EAS,STC,13/01/2016,100,0
DSRADG01EAS,STC,13/01/2016,200,0
DSRADG01EAS,STC,13/01/2016,300,0
DSRADG01EAS,STC,13/01/2016,400,0
DSRADG01EAS,STC,13/01/2016,500,0
DSRADG01EAS,STC,13/01/2016,600,0
DSRADG01EAS,STC,13/01/2016,700,0.096
DSRADG01EAS,STC,13/01/2016,800,1.014
DSRADG01EAS,STC,13/01/2016,900,3.144
DSRADG01EAS,STC,13/01/2016,1000,5.433
DSRADG01EAS,STC,13/01/2016,1100,5.891
DSRADG01EAS,STC,13/01/2016,1200,6.513
DSRADG01EAS,STC,13/01/2016,1300,7.199
DSRADG01EAS,STC,13/01/2016,1400,7.586
DSRADG01EAS,STC,13/01/2016,1500,7.424
DSRADG01EAS,STC,13/01/2016,1600,5.889
DSRADG01EAS,STC,13/01/2016,1700,4.911
DSRADG01EAS,STC,13/01/2016,1800,2.896
DSRADG01EAS,STC,13/01/2016,1900,1.193
DSRADG01EAS,STC,13/01/2016,2000,0.195
DSRADG01EAS,STC,13/01/2016,2100,0
DSRADG01EAS,STC,13/01/2016,2200,0
DSRADG01EAS,STC,13/01/2016,2300,0
DSRADG01EAS,STC,13/01/2016,2400,0
DSRADG01EAS,STC,14/01/2016,100,0
DSRADG01EAS,STC,14/01/2016,200,0
DSRADG01EAS,STC,14/01/2016,300,0
DSRADG01EAS,STC,14/01/2016,400,0
DSRADG01EAS,STC,14/01/2016,500,0
DSRADG01EAS,STC,14/01/2016,600,0
DSRADG01EAS,STC,14/01/2016,700,0
DSRADG01EAS,STC,14/01/2016,800,0.993
DSRADG01EAS,STC,14/01/2016,900,3.283
DSRADG01EAS,STC,14/01/2016,1000,5.243
DSRADG01EAS,STC,14/01/2016,1100,6.682
DSRADG01EAS,STC,14/01/2016,1200,7.519
DSRADG01EAS,STC,14/01/2016,1300,7.838
DSRADG01EAS,STC,14/01/2016,1400,7.811
DSRADG01EAS,STC,14/01/2016,1500,7.375
DSRADG01EAS,STC,14/01/2016,1600,6.477
DSRADG01EAS,STC,14/01/2016,1700,5.071
DSRADG01EAS,STC,14/01/2016,1800,3.194
DSRADG01EAS,STC,14/01/2016,1900,1.114
DSRADG01EAS,STC,14/01/2016,2000,0
DSRADG01EAS,STC,14/01/2016,2100,0
DSRADG01EAS,STC,14/01/2016,2200,0
DSRADG01EAS,STC,14/01/2016,2300,0
DSRADG01EAS,STC,14/01/2016,2400,0
DSRADG01EAS,STC,15/01/2016,100,0
DSRADG01EAS,STC,15/01/2016,200,0
DSRADG01EAS,STC,15/01/2016,300,0
DSRADG01EAS,STC,15/01/2016,400,0
DSRADG01EAS,STC,15/01/2016,500,0
DSRADG01EAS,STC,15/01/2016,600,0
DSRADG01EAS,STC,15/01/2016,700,0.055
DSRADG01EAS,STC,15/01/2016,800,1.022
DSRADG01EAS,STC,15/01/2016,900,3.164
DSRADG01EAS,STC,15/01/2016,1000,3.364
DSRADG01EAS,STC,15/01/2016,1100,4.596
DSRADG01EAS,STC,15/01/2016,1200,7.224
DSRADG01EAS,STC,15/01/2016,1300,7.717
DSRADG01EAS,STC,15/01/2016,1400,7.735
DSRADG01EAS,STC,15/01/2016,1500,7.309
DSRADG01EAS,STC,15/01/2016,1600,6.412
DSRADG01EAS,STC,15/01/2016,1700,4.956
DSRADG01EAS,STC,15/01/2016,1800,3.224
DSRADG01EAS,STC,15/01/2016,1900,1.13
DSRADG01EAS,STC,15/01/2016,2000,0.091
DSRADG01EAS,STC,15/01/2016,2100,0
DSRADG01EAS,STC,15/01/2016,2200,0
DSRADG01EAS,STC,15/01/2016,2300,0
DSRADG01EAS,STC,15/01/2016,2400,0
DSRADG01EAS,STC,16/01/2016,100,0
DSRADG01EAS,STC,16/01/2016,200,0
DSRADG01EAS,STC,16/01/2016,300,0
DSRADG01EAS,STC,16/01/2016,400,0
DSRADG01EAS,STC,16/01/2016,500,0
DSRADG01EAS,STC,16/01/2016,600,0
DSRADG01EAS,STC,16/01/2016,700,0
DSRADG01EAS,STC,16/01/2016,800,0.805
DSRADG01EAS,STC,16/01/2016,900,3.102
DSRADG01EAS,STC,16/01/2016,1000,5.055
DSRADG01EAS,STC,16/01/2016,1100,6.398
DSRADG01EAS,STC,16/01/2016,1200,7.239
DSRADG01EAS,STC,16/01/2016,1300,7.702
DSRADG01EAS,STC,16/01/2016,1400,7.662
DSRADG01EAS,STC,16/01/2016,1500,7.221
DSRADG01EAS,STC,16/01/2016,1600,6.327
DSRADG01EAS,STC,16/01/2016,1700,4.908
DSRADG01EAS,STC,16/01/2016,1800,3.035
DSRADG01EAS,STC,16/01/2016,1900,1.087
DSRADG01EAS,STC,16/01/2016,2000,0.011
DSRADG01EAS,STC,16/01/2016,2100,0
DSRADG01EAS,STC,16/01/2016,2200,0
DSRADG01EAS,STC,16/01/2016,2300,0
DSRADG01EAS,STC,16/01/2016,2400,0
DSRADG01EAS,STC,17/01/2016,100,0
DSRADG01EAS,STC,17/01/2016,200,0
DSRADG01EAS,STC,17/01/2016,300,0
DSRADG01EAS,STC,17/01/2016,400,0
DSRADG01EAS,STC,17/01/2016,500,0
DSRADG01EAS,STC,17/01/2016,600,0
DSRADG01EAS,STC,17/01/2016,700,0.015
DSRADG01EAS,STC,17/01/2016,800,0.961
DSRADG01EAS,STC,17/01/2016,900,3.072
DSRADG01EAS,STC,17/01/2016,1000,5.013
DSRADG01EAS,STC,17/01/2016,1100,6.414
DSRADG01EAS,STC,17/01/2016,1200,7.25
DSRADG01EAS,STC,17/01/2016,1300,6.627
DSRADG01EAS,STC,17/01/2016,1400,7.539
DSRADG01EAS,STC,17/01/2016,1500,7.184
DSRADG01EAS,STC,17/01/2016,1600,6.305
DSRADG01EAS,STC,17/01/2016,1700,4.681
DSRADG01EAS,STC,17/01/2016,1800,2.684
DSRADG01EAS,STC,17/01/2016,1900,0.903
DSRADG01EAS,STC,17/01/2016,2000,0.191
DSRADG01EAS,STC,17/01/2016,2100,0
DSRADG01EAS,STC,17/01/2016,2200,0
DSRADG01EAS,STC,17/01/2016,2300,0
DSRADG01EAS,STC,17/01/2016,2400,0
DSRADG01EAS,STC,18/01/2016,100,0
DSRADG01EAS,STC,18/01/2016,200,0
DSRADG01EAS,STC,18/01/2016,300,0
DSRADG01EAS,STC,18/01/2016,400,0
DSRADG01EAS,STC,18/01/2016,500,0
DSRADG01EAS,STC,18/01/2016,600,0
DSRADG01EAS,STC,18/01/2016,700,0.098
DSRADG01EAS,STC,18/01/2016,800,0.942
DSRADG01EAS,STC,18/01/2016,900,3.025
DSRADG01EAS,STC,18/01/2016,1000,4.983
DSRADG01EAS,STC,18/01/2016,1100,6.381
DSRADG01EAS,STC,18/01/2016,1200,7.215
DSRADG01EAS,STC,18/01/2016,1300,7.708
DSRADG01EAS,STC,18/01/2016,1400,7.78
DSRADG01EAS,STC,18/01/2016,1500,7.036
DSRADG01EAS,STC,18/01/2016,1600,6.551
DSRADG01EAS,STC,18/01/2016,1700,5.038
DSRADG01EAS,STC,18/01/2016,1800,3.13
DSRADG01EAS,STC,18/01/2016,1900,1.12
DSRADG01EAS,STC,18/01/2016,2000,0.119
DSRADG01EAS,STC,18/01/2016,2100,0
DSRADG01EAS,STC,18/01/2016,2200,0
DSRADG01EAS,STC,18/01/2016,2300,0
DSRADG01EAS,STC,18/01/2016,2400,0
DSRADG01EAS,STC,19/01/2016,100,0
DSRADG01EAS,STC,19/01/2016,200,0
DSRADG01EAS,STC,19/01/2016,300,0
DSRADG01EAS,STC,19/01/2016,400,0
DSRADG01EAS,STC,19/01/2016,500,0
DSRADG01EAS,STC,19/01/2016,600,0
DSRADG01EAS,STC,19/01/2016,700,0.075
DSRADG01EAS,STC,19/01/2016,800,0.935
DSRADG01EAS,STC,19/01/2016,900,2.999
DSRADG01EAS,STC,19/01/2016,1000,4.921
DSRADG01EAS,STC,19/01/2016,1100,6.327
DSRADG01EAS,STC,19/01/2016,1200,7.184
DSRADG01EAS,STC,19/01/2016,1300,7.571
DSRADG01EAS,STC,19/01/2016,1400,7.497
DSRADG01EAS,STC,19/01/2016,1500,6.913
DSRADG01EAS,STC,19/01/2016,1600,6.104
DSRADG01EAS,STC,19/01/2016,1700,4.754
DSRADG01EAS,STC,19/01/2016,1800,2.944
DSRADG01EAS,STC,19/01/2016,1900,1.072
DSRADG01EAS,STC,19/01/2016,2000,0.059
DSRADG01EAS,STC,19/01/2016,2100,0
DSRADG01EAS,STC,19/01/2016,2200,0
DSRADG01EAS,STC,19/01/2016,2300,0
DSRADG01EAS,STC,19/01/2016,2400,0
DSRADG01EAS,STC,20/01/2016,100,0
DSRADG01EAS,STC,20/01/2016,200,0
DSRADG01EAS,STC,20/01/2016,300,0
DSRADG01EAS,STC,20/01/2016,400,0
DSRADG01EAS,STC,20/01/2016,500,0
DSRADG01EAS,STC,20/01/2016,600,0
DSRADG01EAS,STC,20/01/2016,700,0.126
DSRADG01EAS,STC,20/01/2016,800,0.907
DSRADG01EAS,STC,20/01/2016,900,2.709
DSRADG01EAS,STC,20/01/2016,1000,3.534
DSRADG01EAS,STC,20/01/2016,1100,6.151
DSRADG01EAS,STC,20/01/2016,1200,7.165
DSRADG01EAS,STC,20/01/2016,1300,6.124
DSRADG01EAS,STC,20/01/2016,1400,7.412
DSRADG01EAS,STC,20/01/2016,1500,6.854
DSRADG01EAS,STC,20/01/2016,1600,4.564
DSRADG01EAS,STC,20/01/2016,1700,2.562
DSRADG01EAS,STC,20/01/2016,1800,1.966
DSRADG01EAS,STC,20/01/2016,1900,0.59
DSRADG01EAS,STC,20/01/2016,2000,0.312
DSRADG01EAS,STC,20/01/2016,2100,0
DSRADG01EAS,STC,20/01/2016,2200,0
DSRADG01EAS,STC,20/01/2016,2300,0
DSRADG01EAS,STC,20/01/2016,2400,0
