Objeto,Fecha Medida,Hora Medida,Valor
BJACBG01EAS,17/01/2016,1900,7.642
BJACBG01EAS,17/01/2016,2000,1.34
BJACBG01EAS,17/01/2016,2100,0
BJACBG01EAS,17/01/2016,2200,0
BJACBG01EAS,17/01/2016,2300,0
BJACBG01EAS,17/01/2016,2400,0
BJACBG01EAS,18/01/2016,100,0
BJACBG01EAS,18/01/2016,200,0
BJACBG01EAS,18/01/2016,300,0
BJACBG01EAS,18/01/2016,400,0
BJACBG01EAS,18/01/2016,500,0
BJACBG01EAS,18/01/2016,600,0
BJACBG01EAS,18/01/2016,700,1.106
BJACBG01EAS,18/01/2016,800,6.512
BJACBG01EAS,18/01/2016,900,19.512
BJACBG01EAS,18/01/2016,1000,32.73
BJACBG01EAS,18/01/2016,1100,42.191
BJACBG01EAS,18/01/2016,1200,46.865
BJACBG01EAS,18/01/2016,1300,48.129
BJACBG01EAS,18/01/2016,1400,49.07
BJACBG01EAS,18/01/2016,1500,47.423
BJACBG01EAS,18/01/2016,1600,42.505
BJACBG01EAS,18/01/2016,1700,33.753
BJACBG01EAS,18/01/2016,1800,21.45
BJACBG01EAS,18/01/2016,1900,7.782
BJACBG01EAS,18/01/2016,2000,0.924
BJACBG01EAS,18/01/2016,2100,0
BJACBG01EAS,18/01/2016,2200,0
BJACBG01EAS,18/01/2016,2300,0
BJACBG01EAS,18/01/2016,2400,0
BJACBG01EAS,19/01/2016,100,0
BJACBG01EAS,19/01/2016,200,0
BJACBG01EAS,19/01/2016,300,0
BJACBG01EAS,19/01/2016,400,0
BJACBG01EAS,19/01/2016,500,0
BJACBG01EAS,19/01/2016,600,0
BJACBG01EAS,19/01/2016,700,0.734
BJACBG01EAS,19/01/2016,800,5.99
BJACBG01EAS,19/01/2016,900,18.83
BJACBG01EAS,19/01/2016,1000,31.862
BJACBG01EAS,19/01/2016,1100,41.377
BJACBG01EAS,19/01/2016,1200,46.682
BJACBG01EAS,19/01/2016,1300,48.148
BJACBG01EAS,19/01/2016,1400,45.963
BJACBG01EAS,19/01/2016,1500,41.339
BJACBG01EAS,19/01/2016,1600,39.189
BJACBG01EAS,19/01/2016,1700,33.926
BJACBG01EAS,19/01/2016,1800,20.758
BJACBG01EAS,19/01/2016,1900,7.748
BJACBG01EAS,19/01/2016,2000,0.931
BJACBG01EAS,19/01/2016,2100,0
BJACBG01EAS,19/01/2016,2200,0
BJACBG01EAS,19/01/2016,2300,0
BJACBG01EAS,19/01/2016,2400,0
BJACBG01EAS,20/01/2016,100,0
BJACBG01EAS,20/01/2016,200,0
BJACBG01EAS,20/01/2016,300,0
BJACBG01EAS,20/01/2016,400,0
BJACBG01EAS,20/01/2016,500,0
BJACBG01EAS,20/01/2016,600,0
BJACBG01EAS,20/01/2016,700,0.364
BJACBG01EAS,20/01/2016,800,5.461
BJACBG01EAS,20/01/2016,900,17.783
BJACBG01EAS,20/01/2016,1000,30.389
BJACBG01EAS,20/01/2016,1100,40.453
BJACBG01EAS,20/01/2016,1200,45.635
BJACBG01EAS,20/01/2016,1300,47.624
BJACBG01EAS,20/01/2016,1400,43.096
BJACBG01EAS,20/01/2016,1500,37.707
BJACBG01EAS,20/01/2016,1600,35.926
BJACBG01EAS,20/01/2016,1700,32.384
BJACBG01EAS,20/01/2016,1800,20.293
BJACBG01EAS,20/01/2016,1900,8.814
BJACBG01EAS,20/01/2016,2000,1.418
BJACBG01EAS,20/01/2016,2100,0
BJACBG01EAS,20/01/2016,2200,0
BJACBG01EAS,20/01/2016,2300,0
BJACBG01EAS,20/01/2016,2400,0
BJACBG01EAS,21/01/2016,100,0
BJACBG01EAS,21/01/2016,200,0
BJACBG01EAS,21/01/2016,300,0
BJACBG01EAS,21/01/2016,400,0
BJACBG01EAS,21/01/2016,500,0
BJACBG01EAS,21/01/2016,600,0
BJACBG01EAS,21/01/2016,700,0.5
BJACBG01EAS,21/01/2016,800,5.838
BJACBG01EAS,21/01/2016,900,18.849
BJACBG01EAS,21/01/2016,1000,29.448
BJACBG01EAS,21/01/2016,1100,41.451
BJACBG01EAS,21/01/2016,1200,47.419
BJACBG01EAS,21/01/2016,1300,49.291
BJACBG01EAS,21/01/2016,1400,48.939
BJACBG01EAS,21/01/2016,1500,46.462
BJACBG01EAS,21/01/2016,1600,41.336
BJACBG01EAS,21/01/2016,1700,33.026
BJACBG01EAS,21/01/2016,1800,20.868
BJACBG01EAS,21/01/2016,1900,7.795
BJACBG01EAS,21/01/2016,2000,0.97
BJACBG01EAS,21/01/2016,2100,0
BJACBG01EAS,21/01/2016,2200,0
BJACBG01EAS,21/01/2016,2300,0
BJACBG01EAS,21/01/2016,2400,0
BJACBG01EAS,22/01/2016,100,0
BJACBG01EAS,22/01/2016,200,0
BJACBG01EAS,22/01/2016,300,0
BJACBG01EAS,22/01/2016,400,0
BJACBG01EAS,22/01/2016,500,0
BJACBG01EAS,22/01/2016,600,0
BJACBG01EAS,22/01/2016,700,0.511
BJACBG01EAS,22/01/2016,800,5.678
BJACBG01EAS,22/01/2016,900,18.761
BJACBG01EAS,22/01/2016,1000,31.938
BJACBG01EAS,22/01/2016,1100,41.016
BJACBG01EAS,22/01/2016,1200,46.26
BJACBG01EAS,22/01/2016,1300,49.869
BJACBG01EAS,22/01/2016,1400,49.547
BJACBG01EAS,22/01/2016,1500,47.72
BJACBG01EAS,22/01/2016,1600,42.817
BJACBG01EAS,22/01/2016,1700,33.741
BJACBG01EAS,22/01/2016,1800,21.393
BJACBG01EAS,22/01/2016,1900,7.745
BJACBG01EAS,22/01/2016,2000,0.91
BJACBG01EAS,22/01/2016,2100,0
BJACBG01EAS,22/01/2016,2200,0
BJACBG01EAS,22/01/2016,2300,0
BJACBG01EAS,22/01/2016,2400,0
BJACBG01EAS,23/01/2016,100,0
BJACBG01EAS,23/01/2016,200,0
BJACBG01EAS,23/01/2016,300,0
BJACBG01EAS,23/01/2016,400,0
BJACBG01EAS,23/01/2016,500,0
BJACBG01EAS,23/01/2016,600,0
BJACBG01EAS,23/01/2016,700,0.572
BJACBG01EAS,23/01/2016,800,5.567
BJACBG01EAS,23/01/2016,900,18.262
BJACBG01EAS,23/01/2016,1000,31.015
BJACBG01EAS,23/01/2016,1100,40.307
BJACBG01EAS,23/01/2016,1200,46.472
BJACBG01EAS,23/01/2016,1300,48.951
BJACBG01EAS,23/01/2016,1400,45.676
BJACBG01EAS,23/01/2016,1500,34.068
BJACBG01EAS,23/01/2016,1600,33.759
BJACBG01EAS,23/01/2016,1700,18.638
BJACBG01EAS,23/01/2016,1800,20.761
BJACBG01EAS,23/01/2016,1900,5.084
BJACBG01EAS,23/01/2016,2000,0.874
BJACBG01EAS,23/01/2016,2100,0
BJACBG01EAS,23/01/2016,2200,0
BJACBG01EAS,23/01/2016,2300,0
BJACBG01EAS,23/01/2016,2400,0
BJACBG01EAS,24/01/2016,100,0
BJACBG01EAS,24/01/2016,200,0
BJACBG01EAS,24/01/2016,300,0
BJACBG01EAS,24/01/2016,400,0
BJACBG01EAS,24/01/2016,500,0
BJACBG01EAS,24/01/2016,600,0
BJACBG01EAS,24/01/2016,700,0.652
BJACBG01EAS,24/01/2016,800,7.677
BJACBG01EAS,24/01/2016,900,16.813
BJACBG01EAS,24/01/2016,1000,28.361
BJACBG01EAS,24/01/2016,1100,37.301
BJACBG01EAS,24/01/2016,1200,47.4
BJACBG01EAS,24/01/2016,1300,49.765
BJACBG01EAS,24/01/2016,1400,49.727
BJACBG01EAS,24/01/2016,1500,48.621
BJACBG01EAS,24/01/2016,1600,43.463
BJACBG01EAS,24/01/2016,1700,34.08
BJACBG01EAS,24/01/2016,1800,21.199
BJACBG01EAS,24/01/2016,1900,7.883
BJACBG01EAS,24/01/2016,2000,0.746
BJACBG01EAS,24/01/2016,2100,0
BJACBG01EAS,24/01/2016,2200,0
BJACBG01EAS,24/01/2016,2300,0
BJACBG01EAS,24/01/2016,2400,0
BJACBG01EAS,25/01/2016,100,0
BJACBG01EAS,25/01/2016,200,0
BJACBG01EAS,25/01/2016,300,0
BJACBG01EAS,25/01/2016,400,0
BJACBG01EAS,25/01/2016,500,0
BJACBG01EAS,25/01/2016,600,0
BJACBG01EAS,25/01/2016,700,0.003
BJACBG01EAS,25/01/2016,800,0.26
BJACBG01EAS,25/01/2016,900,0.762
BJACBG01EAS,25/01/2016,1000,3.637
BJACBG01EAS,25/01/2016,1100,5.271
BJACBG01EAS,25/01/2016,1200,21.701
BJACBG01EAS,25/01/2016,1300,37.151
BJACBG01EAS,25/01/2016,1400,43.851
BJACBG01EAS,25/01/2016,1500,27.991
BJACBG01EAS,25/01/2016,1600,41.454
BJACBG01EAS,25/01/2016,1700,33.749
BJACBG01EAS,25/01/2016,1800,21.749
BJACBG01EAS,25/01/2016,1900,10.077
BJACBG01EAS,25/01/2016,2000,0.813
BJACBG01EAS,25/01/2016,2100,0
BJACBG01EAS,25/01/2016,2200,0
BJACBG01EAS,25/01/2016,2300,0
BJACBG01EAS,25/01/2016,2400,0
BJACBG01EAS,26/01/2016,100,0
BJACBG01EAS,26/01/2016,200,0
BJACBG01EAS,26/01/2016,300,0
BJACBG01EAS,26/01/2016,400,0
BJACBG01EAS,26/01/2016,500,0
BJACBG01EAS,26/01/2016,600,0
BJACBG01EAS,26/01/2016,700,0.118
BJACBG01EAS,26/01/2016,800,1.163
BJACBG01EAS,26/01/2016,900,9.631
BJACBG01EAS,26/01/2016,1000,28.976
