# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v3.0 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-01-01T00:00:00.0
# Date end (ISO 8601): 2017-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -31.4319
# Longitude (positive East, ISO 19115): -57.9092
# Altitude (m): 44.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-01-06T10:00:00.0/2016-01-06T11:00:00.0;438.9765;263.5234;175.4775;88.0458;549.9879
2016-01-06T11:00:00.0/2016-01-06T12:00:00.0;716.9188;488.1803;369.6909;118.4894;722.1484
2016-01-06T12:00:00.0/2016-01-06T13:00:00.0;965.2123;698.0714;561.5477;136.5237;817.6314
2016-01-06T13:00:00.0/2016-01-06T14:00:00.0;1166.9365;871.9549;725.0342;146.9207;874.1735
2016-01-06T14:00:00.0/2016-01-06T15:00:00.0;1308.3405;995.3589;843.0231;152.3358;906.9719
2016-01-06T15:00:00.0/2016-01-06T16:00:00.0;1379.7818;1058.3065;903.3473;154.9591;921.7041
2016-01-06T16:00:00.0/2016-01-06T17:00:00.0;1376.3836;1055.8599;900.7151;155.1448;921.2816
2016-01-06T17:00:00.0/2016-01-06T18:00:00.0;1298.3682;988.2287;836.3030;151.9256;906.6474
2016-01-06T18:00:00.0/2016-01-06T19:00:00.0;1151.0419;860.9220;716.4652;144.4568;875.7793
2016-01-06T19:00:00.0/2016-01-06T20:00:00.0;944.4337;684.0596;552.3135;131.7461;821.8729
2016-01-06T20:00:00.0/2016-01-06T21:00:00.0;692.6112;472.2324;359.9700;112.2625;727.6793
2016-01-06T21:00:00.0/2016-01-06T22:00:00.0;412.7222;247.5511;166.6396;80.9115;554.5657
2016-01-06T22:00:00.0/2016-01-06T23:00:00.0;124.4489;54.3473;25.2521;29.0952;195.0361
2016-01-06T23:00:00.0/2016-01-07T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T00:00:00.0/2016-01-07T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T01:00:00.0/2016-01-07T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T02:00:00.0/2016-01-07T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T03:00:00.0/2016-01-07T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T04:00:00.0/2016-01-07T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T05:00:00.0/2016-01-07T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T06:00:00.0/2016-01-07T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T07:00:00.0/2016-01-07T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T08:00:00.0/2016-01-07T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-07T09:00:00.0/2016-01-07T10:00:00.0;146.6649;74.0438;44.7121;29.3318;329.9430
2016-01-07T10:00:00.0/2016-01-07T11:00:00.0;435.5684;286.4866;221.6757;64.8109;704.6512
2016-01-07T11:00:00.0/2016-01-07T12:00:00.0;713.8950;520.1621;436.5888;83.5733;857.6392
2016-01-07T12:00:00.0/2016-01-07T13:00:00.0;962.6809;736.6414;641.0712;95.5703;936.3746
2016-01-07T13:00:00.0/2016-01-07T14:00:00.0;1164.9715;914.9094;810.7494;104.1600;979.3454
2016-01-07T14:00:00.0/2016-01-07T15:00:00.0;1306.9767;1041.1649;931.1632;110.0017;1002.8867
2016-01-07T15:00:00.0/2016-01-07T16:00:00.0;1379.0126;1104.2013;989.7453;114.4560;1010.4116
2016-01-07T16:00:00.0/2016-01-07T17:00:00.0;1376.1613;1099.2038;981.6866;117.5173;1004.2289
2016-01-07T17:00:00.0/2016-01-07T18:00:00.0;1298.6072;1027.5444;909.5130;118.0314;985.8023
2016-01-07T18:00:00.0/2016-01-07T19:00:00.0;1151.6249;894.7320;778.7424;115.9897;951.3873
2016-01-07T19:00:00.0/2016-01-07T20:00:00.0;945.2195;711.0495;601.0472;110.0023;893.6864
2016-01-07T20:00:00.0/2016-01-07T21:00:00.0;693.4446;491.6446;394.3393;97.3053;796.4556
2016-01-07T21:00:00.0/2016-01-07T22:00:00.0;413.4445;259.2065;186.5899;72.6166;621.4447
2016-01-07T22:00:00.0/2016-01-07T23:00:00.0;124.8891;57.8607;30.3872;27.4735;238.0090
2016-01-07T23:00:00.0/2016-01-08T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T00:00:00.0/2016-01-08T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T01:00:00.0/2016-01-08T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T02:00:00.0/2016-01-08T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T03:00:00.0/2016-01-08T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T04:00:00.0/2016-01-08T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T05:00:00.0/2016-01-08T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T06:00:00.0/2016-01-08T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T07:00:00.0/2016-01-08T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T08:00:00.0/2016-01-08T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000
2016-01-08T09:00:00.0/2016-01-08T10:00:00.0;142.9088;59.2860;22.8744;36.4116;162.0775
2016-01-08T10:00:00.0/2016-01-08T11:00:00.0;432.1079;251.5781;152.2193;99.3589;482.3621
